,pair,c_xgb,c_lgb,p_l,trade_count
0,EUR_USD,0.78,0.65,0.007600131578947365,76.0
1,USD_CHF,0.0,0.8,0.004871200000000002,75.0
2,USD_CAD,0.46,0.0,0.005197183098591553,71.0
3,GBP_USD,0.44,0.46,0.010222535211267609,71.0
4,AUD_USD,0.68,0.39,0.004588684210526317,76.0
5,USD_JPY,0.0,0.99,1.7959859154929587,71.0
6,NZD_USD,0.75,0.62,0.004945569620253163,79.0
7,USD_CNH,0.97,0.7000000000000001,0.01941076923076924,104.0
8,USD_CZK,0.5700000000000001,0.6,0.24006788732394377,71.0
9,USD_DKK,0.0,0.9500000000000001,0.024707469879518097,83.0
10,USD_HKD,0.0,0.0,-inf,
11,USD_MXN,0.81,0.74,0.16389055045871562,109.0
12,USD_NOK,0.85,0.9,0.10883492957746473,71.0
13,USD_PLN,0.91,0.79,0.021327323943661936,71.0
14,USD_SEK,0.0,0.78,0.09062882051282052,195.0
15,USD_SGD,0.48,0.54,0.006047808219178081,73.0
16,USD_THB,0.55,0.47000000000000003,0.25474698795180695,83.0
17,USD_TRY,0.0,0.0,0.16082292682926827,533.0
18,USD_ZAR,0.0,0.85,0.11106452054794512,73.0
