pair,acc,pl,param,model
EUR_USD,0.3855421686746988,0.0024500609756097,"{'n_estimators': 500, 'learning_rate': 0.08839145114974618, 'max_depth': 9, 'subsample': 0.7150195512366385, 'colsample_bytree': 0.8143099786238801}",XBGboost
USD_CAD,0.0,,"{'n_estimators': 100, 'learning_rate': 0.010450692290281133, 'max_depth': 3, 'subsample': 0.8954267116750073, 'colsample_bytree': 0.899380316319439}",XBGboost
USD_CHF,0.0,,"{'n_estimators': 200, 'learning_rate': 0.018518608045185025, 'max_depth': 3, 'subsample': 0.732500058671306, 'colsample_bytree': 0.7030830382040146}",XBGboost
AUD_USD,0.3833333333333333,0.003267659574468,"{'n_estimators': 500, 'learning_rate': 0.059133557410311954, 'max_depth': 3, 'subsample': 0.8419229430841367, 'colsample_bytree': 0.8092855028462099}",XBGboost
NZD_USD,0.5517241379310345,0.0051778260869565,"{'n_estimators': 300, 'learning_rate': 0.09477718575550409, 'max_depth': 3, 'subsample': 0.8829601405935583, 'colsample_bytree': 0.7653428475779953}",XBGboost
GBP_USD,0.0,,"{'n_estimators': 200, 'learning_rate': 0.01090933643405494, 'max_depth': 3, 'subsample': 0.7080386022333557, 'colsample_bytree': 0.8622246385438153}",XBGboost
USD_JPY,0.5777777777777777,0.6661522842639588,"{'n_estimators': 400, 'learning_rate': 0.09000135171221914, 'max_depth': 3, 'subsample': 0.7737437178762883, 'colsample_bytree': 0.89953738451212}",XBGboost
EUR_USD,0.4629629629629629,0.0021754320987654,"{'n_estimators': 400, 'learning_rate': 0.0629242766726568, 'max_depth': 3, 'subsample': 0.7490260918025958, 'colsample_bytree': 0.8585698161087082}",LBGboost
USD_CAD,0.0,,"{'n_estimators': 100, 'learning_rate': 0.01686004792072466, 'max_depth': 3, 'subsample': 0.7787007419195564, 'colsample_bytree': 0.8652566062128909}",LBGboost
USD_CHF,0.4779411764705882,0.0013764583333333,"{'n_estimators': 400, 'learning_rate': 0.04124876660854591, 'max_depth': 6, 'subsample': 0.8401186382064175, 'colsample_bytree': 0.8690954265426417}",LBGboost
AUD_USD,0.0,,"{'n_estimators': 100, 'learning_rate': 0.010572628392167866, 'max_depth': 3, 'subsample': 0.7540545996664053, 'colsample_bytree': 0.8526041721785262}",LBGboost
NZD_USD,0.475,0.003577037037037,"{'n_estimators': 200, 'learning_rate': 0.09647914982081891, 'max_depth': 3, 'subsample': 0.8584665659762121, 'colsample_bytree': 0.7416851162300508}",LBGboost
GBP_USD,0.0,0.0171099999999999,"{'n_estimators': 100, 'learning_rate': 0.017569495959016457, 'max_depth': 6, 'subsample': 0.8370035094840677, 'colsample_bytree': 0.864539402577908}",LBGboost
USD_JPY,0.5154639175257731,0.6016555891238673,"{'n_estimators': 500, 'learning_rate': 0.04780942135782317, 'max_depth': 9, 'subsample': 0.7235368005810303, 'colsample_bytree': 0.7479413962409891}",LBGboost
USD_CNH,0.448,,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}",XBGboost
USD_CNH,0.454,,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}",LBGboost
USD_CZK,0.622,,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}",XBGboost
USD_CZK,0.612,,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.8999999999999999}",LBGboost
USD_DKK,0.504,,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7, 'colsample_bytree': 0.8999999999999999}",XBGboost
USD_DKK,0.518,,"{'n_estimators': 300, 'learning_rate': 0.06999999999999999, 'max_depth': 9, 'subsample': 0.7, 'colsample_bytree': 0.8999999999999999}",LBGboost
USD_HKD,0.544,,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7}",XBGboost
USD_HKD,0.556,,"{'n_estimators': 100, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}",LBGboost
USD_MXN,0.55,,"{'n_estimators': 300, 'learning_rate': 0.06999999999999999, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.8999999999999999}",XBGboost
USD_MXN,0.544,,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.8999999999999999}",LBGboost
USD_NOK,0.518,,"{'n_estimators': 100, 'learning_rate': 0.09, 'max_depth': 9, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}",XBGboost
USD_NOK,0.54,,"{'n_estimators': 500, 'learning_rate': 0.03, 'max_depth': 9, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}",LBGboost
USD_PLN,0.462,,"{'n_estimators': 200, 'learning_rate': 0.09, 'max_depth': 9, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}",XBGboost
USD_PLN,0.456,,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}",LBGboost
USD_SEK,0.648,,"{'n_estimators': 500, 'learning_rate': 0.06999999999999999, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7}",XBGboost
USD_SEK,0.644,,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7, 'colsample_bytree': 0.7999999999999999}",LBGboost
USD_SGD,0.482,,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.8999999999999999}",XBGboost
USD_SGD,0.472,,"{'n_estimators': 400, 'learning_rate': 0.01, 'max_depth': 9, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}",LBGboost
USD_THB,0.558,,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}",XBGboost
USD_THB,0.588,,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.8999999999999999}",LBGboost
USD_TRY,0.812,,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7999999999999999}",XBGboost
USD_TRY,0.808,,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7999999999999999}",LBGboost
USD_ZAR,0.49,,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 6, 'subsample': 0.8999999999999999, 'colsample_bytree': 0.7}",XBGboost
USD_ZAR,0.494,,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.7999999999999999, 'colsample_bytree': 0.7}",LBGboost
